original_address,lat,lon,formatted,name,housenumber,suburb,street,county,postcode,district,city,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
"5160 STANYAN ST, SAN FRANCISCO, CA 94117",37.7706954,-122.4538621,"Stanyan Street, San Francisco, CA 94117, United States of America",Stanyan Street,,,Stanyan Street,,94117,Cole Valley,San Francisco,California,CA,United States,us,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1059 PAGE ST, SAN FRANCISCO, CA 94117",37.77199757142857,-122.43819430612245,"1059 Page Street, San Francisco, CA 94117, United States of America",,1059,,Page Street,,94117,Duboce Triangle,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"849 HAIGHT ST, SAN FRANCISCO, CA 94117",37.77129669387755,-122.43615359183673,"849 Haight Street, San Francisco, CA 94117, United States of America",,849,,Haight Street,,94117,Western Addition,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"27 BELVEDERE ST, SAN FRANCISCO, CA 94117",37.769212,-122.4496778,"27 Belvedere Street, San Francisco, CA 94117, United States of America",,27,,Belvedere Street,,94117,Cole Valley,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"33 SCOTT ST, SAN FRANCISCO, CA 94117",37.76955530769231,-122.43508769230769,"33 Scott Street, San Francisco, CA 94117, United States of America",,33,,Scott Street,,94117,Western Addition,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1409 MASONIC AVE, SAN FRANCISCO, CA 94117",37.76720575,-122.44494260256477,"1409 Masonic Avenue, San Francisco, CA 94117, United States of America",,1409,,Masonic Avenue,,94117,Haight-Ashbury,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"6445 GEARY BLVD, SAN FRANCISCO, CA 94121",37.779655399999996,-122.48868139543717,"6445 Geary Boulevard, San Francisco, CA 94121, United States of America",,6445,,Geary Boulevard,,94121,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"501 6TH AVE, SAN FRANCISCO, CA 94118",37.7789355,-122.46434839922958,"501 6th Avenue, San Francisco, CA 94118, United States of America",,501,,6th Avenue,,94118,Jordan Park,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"33 LAPIDGE ST, SAN FRANCISCO, CA 94110",37.76109120408163,-122.42225355102042,"33 Lapidge Street, San Francisco, CA 94110, United States of America",,33,,Lapidge Street,,94110,Mission District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3338 19TH ST, SAN FRANCISCO, CA 94110",37.760402000000006,-122.41780808333333,"3338 19th Street, San Francisco, CA 94110, United States of America",,3338,,19th Street,,94110,Mission District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
